,,,,,,,,,,,,,,,,,,,,
Segment,CC,CC Name,START DATE,END DATE,2026-2030 QTY,2026 EU Qties,2027 EU Qties,2028 EU Qties,2029 EU Qties,2030 EU Qties,"EBOOST (E-KIT) NAME
ICO","PLATFORM
ICO",Motor,Driver,Battery,Display,PROJECT MANAGER,BOM created?,COMMENT,CC ZIMON
CITY,9900356181,E-THREE 500,12/14/2025,3/31/2030,"30,700",14000,10500,5200,1000,0,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,356181
CITY,9900356200,LD 940E CONNECT LF UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 940,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,356200
CITY,9900358464,LD 940E CONNECT HF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 940,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,358464
CITY,9900358895,LD 920E AUTOMATIC LF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 920,#N/A,#N/A,#N/A,#N/A,#N/A,Sébastien Valatx,TRUE,,358895
CITY,9900361159,*USA E-LD 920 HF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 920,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,361159
CITY,9900361230,*USA VELOCARGO R500E V2 CN FR,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,361230
CITY,9900361320,*USA LD 500E HF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,eLD 500,HUB 500 2020,MHLGK,DV3,,HUB cargo M,Simon Midrier,TRUE,,361320
KIDS,9900335105,"26"" E ST 500",#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E ST 500 KIDS,OIB eboost Mahle X30,X30,Other,iX250 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,335105
KIDS,9900340602,"26"" E EXPL 900",3/2/2025,12/31/2030,"4,846",1046,800,900,1000,1100,E EXPL 900 KIDS MY25,OIB eboost Mahle X30,X30,Other,iX250 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,340602
MICRO-MOBILITY,9900330540,E-FOLD 500,6/1/2022,8/31/2030,"76,958",9816,9763,9400,9500,0,E-FOLD500 MY23,HUBv3 light carrier XS,VRM92,DV3,36V carrier,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,330540
MICRO-MOBILITY,9900333538,"E-FOLD 900 1""",1/23/2022,8/31/2028,"2,650",1000,1150,500,0,0,E-FOLD900 MY24,HUB Seat post,VRM92,DV3,battery seatpost BMZ,NA,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,333538
MICRO-MOBILITY,9900341643,E FOLD 100,1/22/2023,12/31/2026,Exist but No quantity,0,0,0,0,0,E-FOLD100 MY23,HUBv3 light carrier XS,VRM92,DV3,36V carrier,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,341643
MICRO-MOBILITY,9900344155,E-FC 500 (new frame),8/1/2028,12/31/2031,"5,050",0,0,550,2000,2500,E-FC500,OIB eboost Bosch HUB Light,Hub Bosch,Other,Bosch PowerMore 250,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344155
MICRO-MOBILITY,9900344264,E FOLDING BIKE 900-1'' (V2),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-FC900,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,FALSE,,344264
MICRO-MOBILITY,9900344272,E FL 900,8/17/2025,11/30/2030,"5,100",500,1200,1700,1700,0,E-FOLD LIGHT V1,OIB eboost Mahle X30S,X30s,Other,Mahle RangeExtender,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344272
MICRO-MOBILITY,9900347353,FOLD 100E CN,1/1/2024,12/31/2028,Exist but No quantity,0,0,0,0,0,No EBOOST KIT,HUBv3 light carrier XS,VRM92,DV3,36V carrier,,Project not validated,FALSE,,347353
MTB,124595,MTB E-ST 900 RR,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-ST900 MY19,#N/A,#N/A,#N/A,#N/A,#N/A,Simon Midrier,FALSE,,124595
MTB,9900324286,MTB e-ST 500 V3,3/1/2022,7/25/2026,2,1,0,0,0,0,E-ST 500 MY22,BROSE C alu,brose c alu,MDU,,NA,Simon Midrier,TRUE,,324286
MTB,9900330239,MTB e-FEEL TeamEdition S,3/1/2024,3/6/2027,2,1,0,0,0,0,MTB E Feel 900S MY23,Shimano EP 801,Shimano EP 801,MDU,,NA,Maker - No ICO,TRUE,,330239
MTB,9900330262,MTB e-FEEL 900S,3/1/2024,6/30/2027,500,500,0,0,0,0,MTB E Feel 900S MY23,Shimano EP 801,Shimano EP 801,MDU,,NA,Maker - No ICO,TRUE,,330262
MTB,9900330263,MTB e-FEEL 700S  NA,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,Shimano EP 600,Shimano EP 600,MDU,,NA,Maker - No ICO,FALSE,,330263
MTB,9900330291,MTB e-FEEL 700 S,3/1/2024,6/30/2027,"1,500",1500,0,0,0,0,MTB E Feel 700S MY24,Shimano EP 600,Shimano EP 600,MDU,,NA,Maker - No ICO,TRUE,,330291
MTB,9900330292,MTB e-FEEL 900S NA,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,Shimano EP 801,Shimano EP 801,MDU,,NA,Maker - No ICO,FALSE,,330292
MTB,9900334399,MTB E-EXPLORE 700 WOMEN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EXPLORE 700 MY23,Brose Talu,Brose Talu,MDU,,NA,Simon Midrier,TRUE,,334399
