,,,,,,,,,,,,,,,,,,,,
Segment,CC,CC Name,START DATE,END DATE,2026-2030 QTY,2026 EU Qties,2027 EU Qties,2028 EU Qties,2029 EU Qties,2030 EU Qties,"EBOOST (E-KIT) NAME
ICO","PLATFORM
ICO",Motor,Driver,Battery,Display,PROJECT MANAGER,BOM created?,COMMENT,CC ZIMON
TREKKING,9900342031,E_ACTV 900 LF V1,7/1/2024,2/20/2028,"28,000",6000,8000,0,0,0,ACTIVE 900E,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,342031
TREKKING,9900342851,RS520E LF EUROPE,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,RS 520E,#N/A,#N/A,#N/A,#N/A,#N/A,Simon Midrier,TRUE,,342851
TREKKING,9900344111,RS500 E CN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,RS 500E MOBOM V3,HUB ANANDA 2022,HUB ANANDA 2022,DV3,36V IF 360Wh,HUB light carrier XS,Simon Midrier,FALSE,,344111
TREKKING,9900344124,E_ACTV 900 HF V1,8/1/2024,3/6/2027,"1,000",1000,0,0,0,0,ACTIVE 900E,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,TRUE,,344124
TREKKING,9900352497,E_ACTIVE 900 LF V2 IOT,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,ACTIVE 900E IOT MY 2025,#N/A,#N/A,#N/A,#N/A,#N/A,Sébastien Valatx,FALSE,,352497
TREKKING,9900356244,E_ACTV 100 HF V1,2/23/2025,2/28/2029,"43,500",13500,10000,10000,10000,0,ACTIVE 100E MY25,HUB 100 2025,VRMGT,DV3,36V IF 360Wh,HUB IF essential S,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,356244
TREKKING,9900356245,E-ACTV 100 LF V1,2/23/2025,3/31/2028,"42,000",42000,0,0,0,0,ACTIVE 100E MY25,HUB 100 2025,VRMGT,DV3,36V IF 360Wh,HUB IF essential S,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,356245
TREKKING,9900358608,Trekking E-ESCP 100 360Wh,1/1/2029,3/1/2032,Exist but No quantity,0,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,358608
TREKKING,9900358726,E-ACTV 100 HF V2 360Wh,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,ACTIVE 100E MY2027,HUB 100 2027,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,358726
TREKKING,9900358788,Trekking E-ESCP 100 + 500WH,2/1/2027,12/31/2029,"52,000",0,15000,17000,20000,0,ACTIVE 100E MY2027 500wh,HUBv4 IF essential M,VRMH105,DV4,36V IF 500Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,358788
TREKKING,9900358836,E-ESCP 900 HF,1/1/2028,12/31/2032,"3,500",0,0,1000,1200,1300,E ADVT 900,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,358836
TREKKING,9900358864,E-ESCP 900 LF,1/1/2028,12/31/2032,"5,000",0,0,1500,1700,1800,E ADVT 900,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,358864
TREKKING,9900358883,E-ACTV 500 LF V2,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,ACTIVE 500e MY26,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,358883
TREKKING,9900358900,Trekking E-ESCP 100 X 500WH,4/1/2026,3/31/2029,Exist but No quantity,0,0,0,0,0,No EBOOST KIT,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,358900
TREKKING,9900358910,E-ACTV 500 HF V2,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,ACTIVE 500e MY26,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,TRUE,,358910
CITY,9900329789,SPEED 900 E,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,SPEED 900E,Mahle X35,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,329789
CITY,9900352121,XL Loading front family,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,XL loading front MY27,#N/A,#N/A,#N/A,#N/A,#N/A,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,352121
CITY,9900352150,XL loading front platform,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,XL loading front MY27,#N/A,#N/A,#N/A,#N/A,#N/A,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,352150
CITY,9900361614,S LOADING E,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Project not validated,FALSE,,361614
CITY,9900361961,VELOCARGO R500E V3 USCAN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,No EBOOST KIT,#N/A,#N/A,#N/A,#N/A,#N/A,Maker - No ICO,FALSE,,361961
CITY,9900362766,L LOADING E 500WH,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,L loading 500 Wh MY26,#N/A,#N/A,#N/A,#N/A,#N/A,Sébastien Valatx,TRUE,,362766
CITY,9900362852,M LOADING E 500WH,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,M loading 500 Wh MY26,#N/A,#N/A,#N/A,#N/A,#N/A,Sébastien Valatx,TRUE,,362852
KIDS,9900360859,"24"" E-PLAY 900",#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,MAKER,Maker,Maker,Other,,maker,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,360859
MTB,9900361870,MTB E-ESCP 100 (CAT1A),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,MTB E-ESSENTIAL,HUB 100 2027,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,361870
MTB,9900361890,MTB E-ESCP 500 (CAT 2A),2/22/2026,2/19/2028,"8,500",3500,5000,0,0,0,MTB E-EXPLORE 120 MY26,PWC2,PWC2,MDU,,OIB eboost Yam,Simon Midrier,TRUE,Mona: I added the bike in EKIT_BOM sheet but no BOM created in ICO file yet,361890
MTB,9900361900,mtb E-ESCP 500 +  (CAT 2C),2/20/2028,2/16/2030,"16,600",0,0,9600,7000,0,E-MTB Owuru2 CAT2C MY2028,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,Mona: check the formula BOM exsit,361900
RD/GRVL,9900361453,*USA E-GRVL AF MD,12/31/2024,12/31/2028,Exist but No quantity,0,0,0,0,0,No EBOOST KIT,BROSE Hmag,Brose Hmag,MDU,,NA,Project not validated,FALSE,,361453
CITY,9900362928,E-TWO 900 V2,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-Two 900 MY2029,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,362928
MICRO-MOBILITY,9900344265,E FL 900 (V2),3/1/2029,12/31/2032,"3,000",0,0,0,500,2500,E-FL900 v2,Mahle X30s,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344265
TREKKING,9900358807,Trekking E-ESCP 500 LF OWURU 500 Wh,9/1/2027,3/31/2031,"89,000",0,5000,26000,28000,30000,E ACTV 500 OWURU 500Wh,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,Mona: I added the bike in EKIT_BOM sheet but no BOM created in ICO file yet,358807
TREKKING,9900358857,E-ACTV 500 HF V3,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,FALSE,Mona: I added the bike in EKIT_BOM sheet but no BOM created in ICO file yet,358857
RD/GRVL,9900365612,E-GRVL AF HD X35 Apex 1x12,12/1/2024,12/31/2026,500,500,0,0,0,0,E-GRVL RDNG 500,Mahle X35,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,365612
CITY,9900362991,M LOADING E 500WH V2,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,M LOADING 500WH V2,#N/A,#N/A,#N/A,#N/A,#N/A,Sébastien Valatx,TRUE,,362991
TREKKING,9900370182,Trekking E-ESCP 500 X OWURU 750Wh,3/1/2028,3/31/2029,"7,000",0,0,3500,3500,0,E-MTB Owuru2 CAT2X MY2028,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,370182
TREKKING,9900370202,Trekking E-ESCP 500 + LF OWURU 750Wh,3/1/2028,3/31/2031,"54,000",0,0,8000,9000,10000,E ACTV 500 + OWURU 700Wh,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,370202
MOBILITY-CITY,9900361716,E-THREE 900 V2,3/4/2029,3/7/2033,Exist but No quantity,0,0,0,0,0,E-Three 900 MY2029,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,361716
MOBILITY-CITY,9900375836,E-TWO 500,1/2/2028,12/31/2030,"22,700",0,0,6400,7800,8500,E-Two 500 MY2028,HUBv4 OnFrame Cargo L,VRMH130,DV4 cargo,36V OF 700Wh,,Benjamin ALLEE,TRUE,,375836
MOBILITY-CITY,9900377499,E-THREE 100,8/28/2027,12/31/2033,"25,400",0,0,8000,8800,8600,E-three100 MY29,HUBv4 OnFrame Cargo M,VRMH130,DV4 cargo,36V OF 500Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,377499
MOBILITY-CITY,9900377611,E-TWO 100,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,DELETE,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,377611
MOBILITY-CITY,9900377639,E ONE 100,1/9/2027,3/31/2029,"35,000",0,10000,12000,13000,0,MAKER,Maker,Maker,Other,,maker,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,377639
MOBILITY-Folding,9900376218,E-FC 500,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-FC500,OIB eboost Bosch HUB Light,Hub Bosch,Other,Bosch PowerMore 250,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,376218
MOBILITY-Folding,9900377724,E-FC 100,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-FC100,HUB light carrier XS,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,377724
MTB,9900376836,MTB E-FEEL 500 + (CAT 3B),2/21/2027,2/17/2029,"15,600",0,3800,4000,0,0,E-MTB Owuru2 CAT3B MY2027,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,376836
MTB,9900376854,mtb E-FEEL 500 (CAT 3A),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,,FALSE,Ancien code Brose 3 / Vélo annulé,376854
MTB,9900376884,mtb E-ESCP 500 (CAT 2B),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,,FALSE,,376884
MTB,9900377203,MtbE-ESCP100-CAT1MAKER,2/22/2026,2/19/2028,"68,000",18000,16000,0,0,0,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,377203
MTB,9900377327,mtb E-FEEL 500 + (CAT3B),#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,FALSE,Ancien code Brose 3 / Vélo annulé,377327
RD/GRVL,9900366119,E-EDR AF APEX 12,12/1/2024,12/31/2027,"1,100",200,900,0,0,0,E-EDR AF,Mahle X30,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,366119
RD/GRVL,9900374813,E-EDR CF II 105,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR CF,Mahle X20,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,374813
RD/GRVL,9900374827,E-EDR AF ALLROAD,6/1/2027,12/31/2028,"1,600",0,200,1400,0,0,E-EDR AF,Mahle X30,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,374827
RD/GRVL,9900374829,E-EDR CF II ULTEGRA,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR CF,Mahle X20,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,374829
TREKKING,9900377415,Trekking E-ESCP 100 X V2,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,377415
MOBILITY-CITY,9900378081,E-THREE 900 GR,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,DELETE,Owuru 100,Owuru 100,MDU,,,Sébastien Valatx,FALSE,,378081
OUTDOOR-MTB,9900379063,mtb E-FEEL LT (CAT4 maker),2/18/2029,2/15/2031,150,0,0,0,0,150,MAKER,Maker,Maker,Other,,maker,Maker - No ICO,FALSE,,379063
RD/GRVL,9900374860,E-EDR CF ULTEGRA,3/1/2026,3/3/2029,"1,400",200,250,250,0,0,E-EDR CF,Mahle X20,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,374860
RD/GRVL,9900374932,E-GRVL AF SUSP,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,DELETE,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,374932
MOBILITY-CITY,9900377693,E ONE COMPACT 500,1/31/2029,12/31/2032,"4,500",0,0,0,2000,2500,E-One 500 MY2030,HUBv4 OnFrame essential M,VRMH105,DV4,36V OF 500Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,377693
MOBILITY-CITY,9900377685,E-THREE 500 V4,8/26/2028,12/31/2034,"15,500",0,0,500,7500,7500,E-three500,HUBv4 OnFrame Cargo L,VRMH130,DV4 cargo,36V OF 700Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
MOBILITY-TRK,9900387819,E ACTIV 100 V2,10/1/2026,12/31/2029,"314,000",0,45000,55000,57000,0,ACTIVE 100E MY2027,HUBv4 IF essential S,VRMH105,DV3,36V IF 360Wh,Ergo100,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
MOBILITY-TRK,9900389671,E-ACTV 50,1/1/2027,12/31/2030,Exist but No quantity,0,0,0,0,0,E-ACTV 50 MY27,HUBv3 OnFrame essential S,VRMH105,DV3,36V OF 360Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-MTB,9900388968,MTB E-EXPL 500-CAT 2B,2/18/2029,2/21/2032,"19,400",0,0,0,9600,9800,E-MTB Owuru2 CAT2B MY2029,Owuru 200,Owuru 200,MDU,,,Matthieu PASSARD -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-MTB,9900388977,MTB E-EXPL 140-CAT 2A,2/20/2028,2/15/2031,"84,000",0,0,13500,14000,14500,,Maker,Maker,Other,,maker,,FALSE,,
SPORTS-MTB,9900388979,MTB E-FEEL 900-CAT4A,2/18/2029,2/22/2031,"3,900",0,0,0,850,1100,,OIB Bosch CX,CX,MDU,Powertube900SL,,,FALSE,,
SPORTS-MTB,9900388989,MTB E-EXPL 500 EQ-CAT 2BX,2/18/2029,2/21/2032,"12,800",0,0,0,3200,3200,,Maker,Maker,Other,,maker,,FALSE,,
SPORTS-MTB,9900388994,MTB E-EXPL 100-CAT 1B,1/23/2028,2/15/2031,"97,000",0,0,16000,16500,16000,,HUBv4 IF essential M,VRMH105,DV4,36V IF 500Wh,,,FALSE,,
SPORTS-MTB,9900389017,MTB E-EXPL 540 EQ- CAT2CX,2/20/2028,2/16/2030,"10,400",0,0,3200,2000,0,,OWURU Ride 5 L,Owuru 200,MDU,48V 750Wh,,,FALSE,,
SPORTS-MTB,9900389018,MTB E-FEEL 540 -CAT3B,2/18/2029,2/15/2031,"17,200",0,0,0,4200,4400,,OWURU Ride 5+ L,Owuru 200,MDU,48V 750Wh,,,,,
SPORTS-MTB,9900389044,MTB E-FEEL 500-CAT3A,2/18/2029,2/21/2032,"30,400",0,0,0,7500,7700,,OWURU Ride 5+ L,Owuru 200,MDU,48V 750Wh,,,,,
SPORTS-RD/GRVL,9900387738,E-EDR G AF CUES,9/3/2028,1/1/2032,"6,000",0,0,0,1500,1500,E-EDR G/R AF,OIB eboost Bosch HUB Perf,Hub Bosch,Other,Powertube360,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387766,E-EDR G AF APEX,9/3/2028,1/1/2032,"1,600",0,0,0,400,400,E-EDR G/R AF,OIB eboost Bosch HUB Perf,Hub Bosch,Other,Powertube360,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387812,E-EDR R AF,1/1/2029,1/1/2035,"4,160",0,0,0,1040,1040,E-EDR G/R AF,OIB eboost Bosch HUB,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387818,E-EDR R CF TIAGRA,3/4/2029,1/1/2032,"1,200",0,0,0,200,400,E-EDR G/R CF,OIB Bosch SX,SX,MDU,CPT400,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387875,E-EDR G CF 1,3/4/2029,1/1/2032,"2,680",0,0,0,440,900,E-EDR G/R CF,OIB Bosch SX,SX,MDU,CPT400,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387896,E-EDR G CF 3,3/4/2029,12/31/2032,600,0,0,0,100,200,E-EDR G/R CF,OIB Bosch SX,SX,MDU,CPT400,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387901,E-EDR R CF 105,3/4/2029,1/1/2032,800,0,0,0,150,250,E-EDR G/R CF,OIB Bosch SX,SX,MDU,CPT400,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387902,E-EDR R CF ULTEGRA,3/4/2029,1/1/2032,440,0,0,0,100,120,E-EDR G/R CF,OIB Bosch SX,SX,MDU,CPT400,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
SPORTS-RD/GRVL,9900387903,E-EDR G CF 2,3/4/2029,1/1/2032,"1,200",0,0,0,200,400,E-EDR G/R CF,OIB Bosch SX,SX,MDU,CPT400,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
BTWIN,9900390244,E ACTV 100 HF V2,1/1/2027,12/31/2030,Exist but No quantity,0,0,0,0,0,ACTIVE 100E MY2027,HUBv3 IF essential S,VRMH105,DV3,36V IF 360Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,
MOBILITY-CITY,9900364172,*CITY EBIKE ELOPS 120 LF BR,6/4/2024,6/4/2027,Exist but No quantity,0,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A,,,,
MOBILITY-CITY,9900390533,E-ONE 100 V2,10/7/2028,12/30/2031,Exist but No quantity,0,0,0,0,0,,HUBv4 OnFrame essential S,VRMH105,DV4,36V OF 360Wh,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,,,
MOBILITY-TRK,9900366109,*IN E-ACTV 100 LF,1/1/2025,12/31/2028,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
MOBILITY-TRK,9900366210,*IN E-ACTV 100 HF,1/1/2025,12/31/2029,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
MOBILITY-TRK,9900379090,E-ACTV 100 LF CN,1/1/2026,12/31/2027,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
MOBILITY-TRK,9900384299,Trekking E-Expl 100 LTD 4 Sizes,2/1/2026,12/31/2029,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
MOBILITY-TRK,9900384879,actv rear rack 500 CN,1/1/2026,12/31/2029,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
SPORTS-MTB,9900364515,"*MTB E-ST 100 27""5 BR",6/4/2024,6/6/2027,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
SPORTS-MTB,9900364568,"*MTB E-ST 100 27""5 BR",6/4/2024,6/6/2027,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
SPORTS-MTB,9900379623,MTB E-EXPL 140 CN,6/1/2026,12/31/2029,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
SPORTS-RD/GRVL,9900366648,E-GRVL CF CN,7/10/2026,12/31/2029,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
SPORTS-RD/GRVL,9900377844,*USA E-GRVL AF GRX,1/2/2026,12/31/2029,Exist but No quantity,0,0,0,0,0,,,,,,,,,,
SPORTS-RD/GRVL,9900377910,*USA E-EDR CF 105,1/1/2026,12/31/2029,Exist but No quantity,0,0,0,0,0,,OIB eboost Mahle X20,,,,,,,,
